artist,title,downloads,link,scrape_time
French Montana & Waka Flocka,Lock Out,384223,/French-Montana-Waka-Flocka-Lock-Out-mixtape.290211.html,16-09-18
Drake,Room For Improvement,384137,/Drake-Room-For-Improvement-mixtape.52014.html,16-09-18
ASAP Ferg,Ferg Forever,381069,/ASAP-Ferg-Ferg-Forever-mixtape.666025.html,16-09-18
Gucci Mane & Young Thug,Young Thugga Mane La Flare,378451,/Gucci-Mane-Young-Thug-Young-Thugga-Mane-La-Flare-mixtape.590145.html,16-09-18
Juicy J,100% Juice,378107,/Juicy-J-100-Juice-mixtape.733579.html,16-09-18
Chief Keef,Sorry 4 The Weight,376458,/Chief-Keef-Sorry-4-The-Weight-mixtape.687791.html,16-09-18
Young Jeezy,The Real Is Back 2,374460,/Young-Jeezy-The-Real-Is-Back-2-mixtape.262921.html,16-09-18
Tory Lanez,The New Toronto 2,373354,/Tory-Lanez-The-New-Toronto-2-mixtape.821084.html,16-09-18
Pusha-T,Fear Of God,370486,/Pusha-T-Fear-Of-God-mixtape.210924.html,16-09-18
Lil Wayne,Lil Weezy Ana,369922,/Lil-Wayne-Lil-Weezy-Ana-mixtape.2178.html,16-09-18
Meek Mill,4-4 EP,368681,/Meek-Mill-4-4-EP-mixtape.760602.html,16-09-18
Lil Uzi Vert,The Perfect Luv Tape,368604,/Lil-Uzi-Vert-The-Perfect-Luv-Tape-mixtape.796632.html,16-09-18
Logic,"Young, Broke & Infamous",367488,/Logic-Young-Broke-Infamous-mixtape.178715.html,16-09-18
Curren$y,Covert Coup,367062,/Curreny-Covert-Coup-mixtape.221604.html,16-09-18
Big K.R.I.T.,4eva N A Day,365928,/Big-KRIT-4eva-N-A-Day-mixtape.313128.html,16-09-18
B.o.B,EPIC: Every Play Is Crucial,363109,/BoB-EPIC-Every-Play-Is-Crucial-mixtape.288111.html,16-09-18
Gucci Mane,Writings On The Wall 2,362292,/Gucci-Mane-Writings-On-The-Wall-2-mixtape.247169.html,16-09-18
Kodak Black,Institution,358525,/Kodak-Black-Institution-mixtape.755699.html,16-09-18
Jhene Aiko,Sailing Soul(s),358083,/Jhene-Aiko-Sailing-Souls-mixtape.213671.html,16-09-18
Schoolboy Q,Setbacks,356590,/Schoolboy-Q-Setbacks-mixtape.260197.html,16-09-18
Big K.R.I.T.,Return Of 4eva,353008,/Big-KRIT-Return-Of-4eva-mixtape.213542.html,16-09-18
The Underachievers,Indigoism ,352442,/The-Underachievers-Indigoism-mixtape.449545.html,16-09-18
Game,OKE,350950,/Game-OKE-mixtape.538785.html,16-09-18
Joe Budden,A Loose Quarter,348465,/Joe-Budden-A-Loose-Quarter-mixtape.416375.html,16-09-18
Big K.R.I.T.,It's Better This Way,346149,/Big-KRIT-Its-Better-This-Way-mixtape.740537.html,16-09-18
French Montana & Coke Boys,Coke Boys 2,344977,/French-Montana-Coke-Boys-Coke-Boys-2-mixtape.260651.html,16-09-18
Gucci Mane,Trap Back 2,344103,/Gucci-Mane-Trap-Back-2-mixtape.460398.html,16-09-18
J. Cole,The Come Up Mixtape Vol 1,344065,/J-Cole-The-Come-Up-Mixtape-Vol-1-mixtape.14326.html,16-09-18
Gucci Mane,Diary Of A Trap God,343606,/Gucci-Mane-Diary-Of-A-Trap-God-mixtape.530763.html,16-09-18
Game,California Republic,342572,/Game-California-Republic-mixtape.333339.html,16-09-18
Yo Gotti,Nov 19th: The Mixtape,341975,/Yo-Gotti-Nov-19th-The-Mixtape.527620.html,16-09-18
"Lil Wayne, Juelz Santana",Blow,341284,/Lil-Wayne-Blow-mixtape.1501.html,16-09-18
Lil Herb,Ballin Like I'm Kobe,339567,/Lil-Herb-Ballin-Like-Im-Kobe-mixtape.737674.html,16-09-18
Juicy J,Blue Dream And Lean 2,338321,/Juicy-J-Blue-Dream-And-Lean-2-mixtape.688705.html,16-09-18
Ransom,Winter's Coming,337653,/Ransom-Winters-Coming-mixtape.360461.html,16-09-18
Wiz Khalifa,Prince Of The City 2,337527,/Wiz-Khalifa-Prince-Of-The-City-2-mixtape.14008.html,16-09-18
Flatbush Zombies,D.R.U.G.S.,336761,/Flatbush-Zombies-DRUGS-mixtape.377648.html,16-09-18
Chris Brown,In My Zone 2,335675,/Chris-Brown-In-My-Zone-2-mixtape.172961.html,16-09-18
Migos,Back To The Bando,334834,/Migos-Back-To-The-Bando-mixtape.734617.html,16-09-18
Kid Ink,Wheels Up,334812,/Kid-Ink-Wheels-Up-mixtape.263019.html,16-09-18
BIG K.R.I.T.,Krit Wuz Here,333918,/BIG-KRIT-Krit-Wuz-Here-mixtape.117453.html,16-09-18
Kirko Bangz,Progression 2: A Young Texas Playa,333317,/Kirko-Bangz-Progression-2-A-Young-Texas-Playa-mixtape.306196.html,16-09-18
Chief Keef,Almighty So,331118,/Chief-Keef-Almighty-So-mixtape.523926.html,16-09-18
Kevin Gates,Make Em Believe,329925,/Kevin-Gates-Make-Em-Believe-mixtape.339405.html,16-09-18
Meek Mill,4-4 Pt 2,328044,/Meek-Mill-4-4-Pt-2-mixtape.763523.html,16-09-18
