artist,title,downloads,link,scrape_time
Kirko Bangz,Procrastination Kills 4,423343,/Kirko-Bangz-Procrastination-Kills-4-mixtape.383970.html,15-09-18
Childish Gambino,STN MTN/ Kauai Mixtape,418607,/Childish-Gambino-STN-MTN-Kauai-Mixtape.642620.html,15-09-18
Yo Gotti,The Return,417002,/Yo-Gotti-The-Return-mixtape.734319.html,15-09-18
Migos,Y.R.N. 2 (Young Rich Niggas 2),416699,/Migos-YRN-2-Young-Rich-Niggas-2-mixtape.760168.html,15-09-18
Young Jeezy,Gangsta Party,414260,/Young-Jeezy-Gangsta-Party-mixtape.711116.html,15-09-18
Rich Homie Quan ,Still Goin In (Reloaded),414229,/Rich-Homie-Quan-Still-Goin-In-Reloaded-mixtape.461556.html,15-09-18
Lil Herb,Welcome To Fazoland,411574,/Lil-Herb-Welcome-To-Fazoland-mixtape.580474.html,15-09-18
King Los,Zero Gravity 2,411503,/King-Los-Zero-Gravity-2-mixtape.592172.html,15-09-18
Dom Kennedy,Yellow Album ,407917,/Dom-Kennedy-Yellow-Album-mixtape.365059.html,15-09-18
Yo Gotti,CM8,404504,/Yo-Gotti-CM8-mixtape.749582.html,15-09-18
Future,Streetz Calling,401995,/Future-Streetz-Calling-mixtape.262956.html,15-09-18
Yo Gotti,CM6: Gangsta Of The Year,399179,/Yo-Gotti-CM6-Gangsta-Of-The-Year-mixtape.244807.html,15-09-18
Yo Gotti,January 10th (mixtape),396339,/Yo-Gotti-January-10th-Mixtape.299073.html,15-09-18
Tory Lanez,Chixtape 4,394772,/Tory-Lanez-Chixtape-4-mixtape.821083.html,15-09-18
Lil Durk,300 Days 300 Nights,393804,/Lil-Durk-300-Days-300-Nights-mixtape.741374.html,15-09-18
Lloyd Banks,V6: The Gift,392715,/Lloyd-Banks-V6-The-Gift-mixtape.348701.html,15-09-18
YG Feat. DJ Mustard,4 Hunnid Degreez ,390321,/YG-feat-DJ-Mustard-4-Hunnid-Degreez-mixtape.317249.html,15-09-18
Migos,Rich Nigga Timeline,389484,/Migos-Rich-Nigga-Timeline-mixtape.661196.html,15-09-18
Curren$y,The Drive In Theatre,389008,/Curreny-The-Drive-In-Theatre-mixtape.578652.html,15-09-18
Lil Bibby,Free Crack 2,388156,/Lil-Bibby-Free-Crack-2-mixtape.615403.html,15-09-18
Curren$y,Priest Andretti,387044,/Curreny-Priest-Andretti-mixtape.410830.html,15-09-18
French Montana & Waka Flocka,Lock Out,384223,/French-Montana-Waka-Flocka-Lock-Out-mixtape.290211.html,15-09-18
Drake,Room For Improvement,384132,/Drake-Room-For-Improvement-mixtape.52014.html,15-09-18
ASAP Ferg,Ferg Forever,381068,/ASAP-Ferg-Ferg-Forever-mixtape.666025.html,15-09-18
Gucci Mane & Young Thug,Young Thugga Mane La Flare,378433,/Gucci-Mane-Young-Thug-Young-Thugga-Mane-La-Flare-mixtape.590145.html,15-09-18
Juicy J,100% Juice,378106,/Juicy-J-100-Juice-mixtape.733579.html,15-09-18
Chief Keef,Sorry 4 The Weight,376450,/Chief-Keef-Sorry-4-The-Weight-mixtape.687791.html,15-09-18
Young Jeezy,The Real Is Back 2,374451,/Young-Jeezy-The-Real-Is-Back-2-mixtape.262921.html,15-09-18
Tory Lanez,The New Toronto 2,373327,/Tory-Lanez-The-New-Toronto-2-mixtape.821084.html,15-09-18
Pusha-T,Fear Of God,370481,/Pusha-T-Fear-Of-God-mixtape.210924.html,15-09-18
Lil Wayne,Lil Weezy Ana,369901,/Lil-Wayne-Lil-Weezy-Ana-mixtape.2178.html,15-09-18
Meek Mill,4-4 EP,368665,/Meek-Mill-4-4-EP-mixtape.760602.html,15-09-18
Lil Uzi Vert,The Perfect Luv Tape,368593,/Lil-Uzi-Vert-The-Perfect-Luv-Tape-mixtape.796632.html,15-09-18
Logic,"Young, Broke & Infamous",367464,/Logic-Young-Broke-Infamous-mixtape.178715.html,15-09-18
Curren$y,Covert Coup,367059,/Curreny-Covert-Coup-mixtape.221604.html,15-09-18
Big K.R.I.T.,4eva N A Day,365922,/Big-KRIT-4eva-N-A-Day-mixtape.313128.html,15-09-18
B.o.B,EPIC: Every Play Is Crucial,363109,/BoB-EPIC-Every-Play-Is-Crucial-mixtape.288111.html,15-09-18
Gucci Mane,Writings On The Wall 2,362286,/Gucci-Mane-Writings-On-The-Wall-2-mixtape.247169.html,15-09-18
Kodak Black,Institution,358498,/Kodak-Black-Institution-mixtape.755699.html,15-09-18
Jhene Aiko,Sailing Soul(s),358081,/Jhene-Aiko-Sailing-Souls-mixtape.213671.html,15-09-18
Schoolboy Q,Setbacks,356582,/Schoolboy-Q-Setbacks-mixtape.260197.html,15-09-18
Big K.R.I.T.,Return Of 4eva,353e3,/Big-KRIT-Return-Of-4eva-mixtape.213542.html,15-09-18
The Underachievers,Indigoism ,352440,/The-Underachievers-Indigoism-mixtape.449545.html,15-09-18
Game,OKE,350950,/Game-OKE-mixtape.538785.html,15-09-18
Joe Budden,A Loose Quarter,348460,/Joe-Budden-A-Loose-Quarter-mixtape.416375.html,15-09-18
Big K.R.I.T.,It's Better This Way,346141,/Big-KRIT-Its-Better-This-Way-mixtape.740537.html,15-09-18
French Montana & Coke Boys,Coke Boys 2,344977,/French-Montana-Coke-Boys-Coke-Boys-2-mixtape.260651.html,15-09-18
Gucci Mane,Trap Back 2,344102,/Gucci-Mane-Trap-Back-2-mixtape.460398.html,15-09-18
J. Cole,The Come Up Mixtape Vol 1,344058,/J-Cole-The-Come-Up-Mixtape-Vol-1-mixtape.14326.html,15-09-18
Gucci Mane,Diary Of A Trap God,343599,/Gucci-Mane-Diary-Of-A-Trap-God-mixtape.530763.html,15-09-18
Game,California Republic,342571,/Game-California-Republic-mixtape.333339.html,15-09-18
Yo Gotti,Nov 19th: The Mixtape,341970,/Yo-Gotti-Nov-19th-The-Mixtape.527620.html,15-09-18
"Lil Wayne, Juelz Santana",Blow,341272,/Lil-Wayne-Blow-mixtape.1501.html,15-09-18
Lil Herb,Ballin Like I'm Kobe,339555,/Lil-Herb-Ballin-Like-Im-Kobe-mixtape.737674.html,15-09-18
Juicy J,Blue Dream And Lean 2,338319,/Juicy-J-Blue-Dream-And-Lean-2-mixtape.688705.html,15-09-18
Ransom,Winter's Coming,337653,/Ransom-Winters-Coming-mixtape.360461.html,15-09-18
Wiz Khalifa,Prince Of The City 2,337524,/Wiz-Khalifa-Prince-Of-The-City-2-mixtape.14008.html,15-09-18
Flatbush Zombies,D.R.U.G.S.,336748,/Flatbush-Zombies-DRUGS-mixtape.377648.html,15-09-18
Chris Brown,In My Zone 2,335671,/Chris-Brown-In-My-Zone-2-mixtape.172961.html,15-09-18
Migos,Back To The Bando,334821,/Migos-Back-To-The-Bando-mixtape.734617.html,15-09-18
Kid Ink,Wheels Up,334807,/Kid-Ink-Wheels-Up-mixtape.263019.html,15-09-18
BIG K.R.I.T.,Krit Wuz Here,333909,/BIG-KRIT-Krit-Wuz-Here-mixtape.117453.html,15-09-18
Kirko Bangz,Progression 2: A Young Texas Playa,333314,/Kirko-Bangz-Progression-2-A-Young-Texas-Playa-mixtape.306196.html,15-09-18
Chief Keef,Almighty So,331113,/Chief-Keef-Almighty-So-mixtape.523926.html,15-09-18
Kevin Gates,Make Em Believe,329908,/Kevin-Gates-Make-Em-Believe-mixtape.339405.html,15-09-18
Meek Mill,4-4 Pt 2,328024,/Meek-Mill-4-4-Pt-2-mixtape.763523.html,15-09-18
J Cole,Any Given Sunday EP #1,325156,/J-Cole-Any-Given-Sunday-EP-1-mixtape.257420.html,15-09-18
Lil Snupe,R.N.I.C.,324983,/Lil-Snupe-RNIC-mixtape.476884.html,15-09-18
Kid Ink,Daydreamer,318611,/Kid-Ink-Daydreamer-mixtape.240170.html,15-09-18
Waka Flocka Flame,Duflocka Rant 2,315702,/Waka-Flocka-Flame-Duflocka-Rant-2-mixtape.451580.html,15-09-18
Flatbush ZOMBiES,BetterOffDEAD,314400,/Flatbush-ZOMBiES-BetterOffDEAD-mixtape.531035.html,15-09-18
Trinidad James,Don't Be S.A.F.E,312216,/Trinidad-James-Dont-Be-SAFE-mixtape.407318.html,15-09-18
Lil Bibby,Free Crack 3,311474,/Lil-Bibby-Free-Crack-3-mixtape.744569.html,15-09-18
Nipsey Hussle,The Marathon,310861,/Nipsey-Hussle-The-Marathon-mixtape.180744.html,15-09-18
Big K.R.I.T.,King Remembered In Time,308690,/Big-KRIT-King-Remembered-In-Time-mixtape.473106.html,15-09-18
Gucci Mane & Future,Free Bricks 2 (Zone 6 Edition),308015,/Gucci-Mane-Future-Free-Bricks-2-Zone-6-Edition-mixtape.812953.html,15-09-18
Chris Brown,In My Zone (gangsta Grillz),305928,/Chris-Brown-In-My-Zone-gangsta-Grillz-mixtape.98909.html,15-09-18
Mac Miller,"I Love Life, Thank You",305661,/Mac-Miller-I-Love-Life-Thank-You-mixtape.272902.html,15-09-18
2 Chainz,Daniel Son: Necklace Don,302589,/2-Chainz-Daniel-Son-Necklace-Don-mixtape.797675.html,15-09-18
2 Chainz,FreeBase,300746,/2-Chainz-FreeBase-mixtape.608133.html,15-09-18
Gucci Mane,Gucci 2 Time,300733,/Gucci-Mane-Gucci-2-Time-mixtape.188962.html,15-09-18
Mac Miller,The Jukebox: Prelude To Class Clown,299695,/Mac-Miller-The-Jukebox-Prelude-To-Class-Clown-mixtape.48547.html,15-09-18
Future,True Story,297791,/Future-True-Story-mixtape.239349.html,15-09-18
Cassidy,Mayhem Music: AP 3 ,297146,/Cassidy-Mayhem-Music-AP-3-mixtape.370768.html,15-09-18
